h,Open,High,Low,Close,Volume,Adj Close
19/08/2015,155.149994,155.669998,153.410004,153.940002,4177100,145.758771
18/08/2015,155.509995,156.520004,155.25,156.009995,2018300,147.718752
17/08/2015,155.199997,156.690002,154.699997,156.309998,2249600,148.002811
14/08/2015,155,156.210007,154.580002,155.75,3226400,147.472575
13/08/2015,156.059998,156.089996,154.320007,155.070007,2533400,146.828721
12/08/2015,154.259995,156.520004,153.949997,156.160004,3560300,147.860789
11/08/2015,155.960007,155.990005,154.860001,155.509995,3167100,147.245324
10/08/2015,156.770004,157.470001,156.119995,156.75,4613400,148.419429
07/08/2015,155.889999,156.25,154.339996,155.119995,3794900,146.876052
06/08/2015,157.130005,157.539993,156.179993,156.320007,3004800,148.012289
05/08/2015,159.100006,159.539993,157.479996,157.899994,3472800,148.277395
04/08/2015,158.399994,158.820007,156.869995,157.600006,5260600,147.995688
03/08/2015,161.699997,161.850006,157.899994,158.710007,4615700,149.038044
31/07/2015,161.399994,162.059998,160.630005,161.990005,3580200,152.118156
30/07/2015,160.5,161.399994,159.75,160.960007,1994700,151.150927
29/07/2015,160,161.5,159.389999,161.089996,3378400,151.272995
28/07/2015,159.910004,160.190002,158.5,160.050003,2721000,150.29638
